Date,Description,Distance,Location,Website,Sam,Blake,San,Rich,Austin,Bill,Other
9/10/2025,OCCX - Weeknight Training Series,20 - 40 Minutes,"Raleigh, NC",Cross Central - OCCX - Weeknight Training Series Online Registration,r,,,,,,
9/17/2025,OCCX - Weeknight Training Series,20 - 40 Minutes,"Raleigh, NC",Cross Central - OCCX - Weeknight Training Series Online Registration,r,,,,,,
9/20/2025,Kershaw Gold Rush,83,"Kershaw, SC",2025 Kershaw Gold Rush | Southeast Gravel,r,r,n,r,r,,
9/24/2025,OCCX - Weeknight Training Series,20 - 40 Minutes,"Raleigh, NC",Cross Central - OCCX - Weeknight Training Series Online Registration,n,,,,,,
9/27/2025,CX Central - Camp Kanata,30 minutes,"Wake Forest, NC",CXCentral - Kanata CX Online Registration,x,,,,,,
10/4/2025,CX Central - Sandhills,30 minutes,"Pinehurst, NC",CXCentral - Sandhills CX Online Registration,x,,,,,,
10/5/2025,CX Central - Rock Quarry,30 minutes,"Durham, NC",Not Posted Yet,x,,,,,,
10/11/2025,2025 NCCX Race #1 Gibsonville,45 minutes,"Gibsonville, NC",2025 NCCX Race #1 Gibsonville Online Registration,x,x,?,,,,
10/12/2025,2025 NCCX Race #2 Raleigh,45 minutes,"Raleigh, NC",2025 NCCX Race #2 Raleigh Online Registration,x,x,?,,,,
10/19/2025,2025 NCCX Race #3 Boone,45 minutes,"Boone, NC",2025 NCCX Race #3 Boone Online Registration,x,?,n,,,,
10/25/2025,2025 NCCX Race #4 Winston Salem,45 minutes,"Winston Salem, NC",2025 NCCX Race #4 Winston Salem (Saturday) Online Registration,?,,,,,,
10/26/2025,2025 NCCX Race #5 Winston Salem,45 minutes,"Winston Salem, NC",2025 NCCX Race #5 GP Zoe Clay Winston Salem (Sunday) Online Registration,n,x,,,,,
11/22/2025,2025 North Carolina Grand Prix,30 minutes,"Hendersonville, NC",2025 NORTH CAROLINA GRAND PRIX - R#1 & R#2 - NCCX Race #10 & Race #11 Hendersonville Online Registration,?,,,,,,
